,ACTOR_ID,STAGE_NAME,YEARS_ACTIVE,LAST_GIVEN,FIRST_GIVEN,SEX,BIRTH,DEATH,ROLE_TYPES,NATIONALITY
1801,1802,Lisa Eilbacher,,,,F,,199x,RU:,Un
1802,1803,Janet Eilber,,,,F,,199x,RU:,Un
1803,1804,Sally Eilers,1928-1950,Eilers,Sally,F,1908,1978,R:quiet-spoken,Am
1804,1805,Anthony Eisley,1959,Eisley,Fred,M,19aa,199x,R:sr,Ct
1805,1806,Ike Eisenmann,,,,F,,199x,RU:,Un
1806,1807,Anita Ekberg,1953-1992,Ekberg,Anita,F,1931,199x,R:statuesque,Sw
1807,1808,Britt Ekland,1966-1982,Ekland,Britt-Marie,F,1942,199x,R:cool blonde,Sw
1808,1809,Jack Elam,1950-1979,Elam,Jack,M,1916,199x,R:laconic; swarthy,Am
1809,1810,John Eldredge,1934-1956,Eldredge,John,F,1917,1960,R:mild wimp,Am
1810,1811,Florence Eldridge,1923-1966,MacKechnie,Florence,F,1901,1988,RU:,Am
1811,1812,Hector Elizondo,1971-1983,Elizondo,Hector,M,1936,199x,R:character,Am
1812,1813,Duke Ellington,,Ellington,Edward,M,19aa,199x,R:musician,Am
1813,1814,Laura Elliot,1949-1954,Elliot,Laura,F,1929,199x,R:support,Am
1814,1815,Biff Elliott,,,,M,,199x,RU:,Un
1815,1816,Denholm Elliott,1949-1983,Elliott,Denholm,M,1922,1992,R:well-mannered,Br
1816,1817,Frank Elliott,,,,M,,199x,RU:,Un
1817,1818,Jane Elliott,,,,F,,199x,RU:,Un
1818,1819,Robert Elliott,1917-1945,Elliott,Robert,M,1879,1951,R:lead,Ir
1819,1820,Sam Elliott,1970-1980,Elliott,Sam,M,1944,199x,R:lead,Am
1820,1821,Stephen Elliott,,,,M,,199x,RU:,Un
1821,1822,`Wild Bill' Elliott,1927-1957,Elliott,Gordon,M,1904,1965,R:burly,Am
1822,1823,Edward Ellis,1932-1942,Ellis,Edward,M,1872,1952,R:stern,Am
1823,1824,Mary Ellis,1934-1961,Elsas,Mary,F,1900,199x,R:lead,Am
1824,1825,Patricia Ellis,1932-1939,OBrien,Patricia Gene,,1916,1970,R:lead,Am
1825,1826,Robin Ellis,,,,,,199x,RU:,Un
1826,1827,Art Ellison,,,,M,,199x,RU:,Un
1827,1828,Frank Ellison,1932-1952,Smith,Frank Ellison,M,1910,199x,R:genial,Am
1828,1829,James Ellison,1932-1952,Smith,James Ellison,M,1910,199x,R:genial lead,Am
1829,1830,Isobel Elsom,1919-1964,Reed,Isobel,F,1893,1981,R:romantic lady,Br
1830,1831,Sallee Elyse,,,,F,,199x,RU:,Un
1831,1832,Faye Emerson,1943-1944,Emerson,Faye,F,,1983,RU:,Am
1832,1833,Hope Emerson,1932-1958,Emerson,Hope,F,1897,1960,R:brawny,Am
1833,1834,Roy Emerton,1932-1944,Emerton,Roy,M,1892,1944,R:long-nosed,Br
1834,1835,Dick Emery,1960-1972,Emery,Dick,M,1918,1983,R:chubby; disguise,Br
1835,1836,Gilbert Emery,1929-1945,Emery,Gilbert,M,1875,1945,R:character,Br
1836,1837,Robert Emhardt,1952-1976,Emhardt,Robert,M,1916,199x,R:short and tubby,Am
1837,1838,Michael Emil,,,,M,,199x,RU:,Un
1838,1839,Fred Emney,1935-1969,Emney,Fred,M,1900,1980,R:heavyweight; growls,Br
1839,1840,Robert Englund,,,,M,,199x,RU:,Un
1840,1841,Rene Enriquez,,,,M,1932,1990,RU:,Un
1841,1842,Henry Ephron,,Ephron,Henry,M,1911,1992,R:sr,Ct
1842,1843,Margaret Eppie,,,,F,1930,1989,RU:,Am
1843,1844,Richard Erdmann,1944-1982,Erdmann,Richard,M,1925,199x,R:callow; crusty,Am
1844,1845,Doc Erickson,,,,M,,199x,RU:,Un
1845,1846,Leif Erickson,1935-1976,Anderson,William,M,1911,1986,R:second lead,Am
1846,1847,John Ericson,1951-1977,Meibes,Joseph,M,1927,199x,R:lead,Ge
1847,1848,Krista Errickson,,,,F,,199x,RU:,Un
1848,1849,Leon Errol,1930-1948,Errol,Leon,M,1881,1951,R:comedian,Au
1849,1850,Howard Erskine,1983,,,M,,199x,RU:,Un
1850,1851,Stuart Erwin,1928-1965,Erwin,Stuart,M,1903,1967,R:character comedian,Am
1851,1852,Carl Esmond,1933-1966,Eichberger,Willy,M,1905,199x,R:haughty; arrogant,Os
1852,1853,Jill Esmond,1931,Esmond,Jill,F,1908,199x,R:lady,Br
1853,1854,David Essex,1970-1980,Essex,David,M,1947,199x,R:pop singer,Br
1854,1855,Emilio Estevez,,,,M,,199x,RU:,Un
1855,1856,Shari Eubank,,,,F,,199x,RU:,Un
1856,1857,Barry Evans,1967-1981,Evans,Barry,M,1945,199x,R:light lead,Br
1857,1858,Clifford Evans,1936-1970,Evans,Clifford,M,1912,199x,R:lead; character,Br; Welsh
1858,1859,Dale Evans,1942-1956,Smith,Frances Octavia,F,1912,199x,R:cowgirl,Am
1859,1860,Dame Edith Evans,1915-1976,Evans,Dame Edith,F,1888,1976,R:distinguished,Br
1860,1861,Gene Evans,1948-1977,Evans,Gene,M,1922,199x,R:stocky,Am
1861,1862,Linda Evans,1963-1983,Evans,Linda,F,1943,199x,R:blonde,Am
1862,1863,Maurice Evans,1930-1973,Evans,Maurice,M,1901,1989,R:eloquent,Br; Welsh
1863,1864,Michael Evans,,,,M,,199x,RU:,Un
1864,1865,Rex Evans,1940-1958,Evans,Rex,M,1903,1969,R:character,Br
1865,1866,Robert Evans,1952-1980,Evans,Robert,M,1930,199x,R:bland juvenile,Un
1866,1867,Judith Evelyn,1954-1959,Allen,J.E.,F,1913,1967,R:neurotic woman,Am
1867,1868,Barbara Everest,1931-1962,Everest,Barbara,F,1890,1968,R:motherly,Br
1868,1869,Chad Everett,1961-1983,Cramton,Raymond,M,1937,199x,R:handsome lead,Am
1869,1870,Trish Everly,,,,F,,199x,RU:,Un
1870,1871,Jason Evers,1970-1977,Evers,Herbert,M,1922,199x,R:general purpose,Am
1871,1872,John Ewart,,,,M,,199x,RU:,Un
1872,1873,Tom Ewell,1949-1981,Tompkins,S. Yewell,M,1909,199x,R:comic,Am
1873,1874,Richard Eyer,,,,M,,199x,RU:,Un
1874,1875,William Eythe,1942-1950,Eythe,William,M,1918,1957,R:lead,Am
1875,1876,Francoise Fabian,1956-1977,Fabian,Francoise,F,1935,199x,R:lead,Sp
1876,1877,Fabio,,Lanzoni,Fabio,M,1961,199x,R:sexy,It
1877,1878,Nanette Fabray,1939-1981,Fabares,Nanette,F,1920,199x,R:comedy,Am
1878,1879,Aldo Fabrizi,1945-1968,Fabrizi,Aldo,M,1905,1990,R:character,It
1879,1880,Douglas Fairbanks sr,1915-1934,Ullman,Douglas,M,1883,1939,R:swashbuckling,Am
1880,1881,Douglas Fairbanks jr.,1920-1981,Fairbanks,Douglas jr.,M,1909,199x,R:debonair,Am
1881,1882,Sydney Fairbrother,1916-1938,Tapping,S.,M,1873,1941,R:character,Br
1882,1883,Morgan Fairchild,1978-1981,Fairchild,Morgan,F,1950,199x,R:lead,Am
1883,1884,Adam Faith,1960-1974,Nelhams,Terence,M,1940,199x,RU:,Br
1884,1885,Eduardo Fajardo,,,,M,,199x,RU:,Un
1885,1886,Lola Falana,,,,F,,199x,RU:,Un
1886,1887,Fabray Falconetti,,,,F,,199x,RU:,Un
1887,1888,Peter Falk,1958-1981,Falk,Peter,M,1927,199x,R:fast-talking; cast-eyed,Am
1888,1889,Deborah Fallender,,,,F,,199x,RU:,Un
1889,1890,Dennis Lee Falt,,,,M,,199x,RU:,Un
1890,1891,Sergio Fantoni,1960-1971,Fantoni,Sergio,M,1930,199x,R:lead,It
1891,1892,Daniel Faraldo,,,,M,,199x,RU:,Un
1892,1893,Amy Farber,,,,F,,199x,RU:,Un
1893,1894,Maria Farebrother,,,,F,,199x,RU:,Un
1894,1895,Violet Farebrother,,,,F,,199x,RU:,Un
1895,1896,James Farentino,1964-1983,Farentino,James,M,1938,199x,R:lead,Am
1896,1897,Antonio Fargas,1969-1978,Fargas,Antonio,M,,199x,R:bear,PR
1897,1898,Chris Farley,1997,Farley,Chris,|,|,|,|,|
1898,1899,Frances Farmer,1927-1958,Farmer,Frances,F,1914,1970,R:lead,Am
1899,1900,Mimsy Farmer,1963-1980,Farmer,Mimsy,F,1945,199x,R:lead,Am
1900,1901,Richard Farnsworth,,,,M,,199x,RU:,Un
1901,1902,Dustin Farnum,1914,Farnum,Dustin,M,,,RU:,Am
1902,1903,Franklyn Farnum,,Farnum,Franklyn,M,1876,1961,R:silent western lead,Am
1903,1904,William Farnum,1914-1952,Farnum,William,M,1876,1953,R:silent lead,Am
1904,1905,Derek Farr,1940-1968,Farr,Derek,M,1912,199x,R:lead,Br
1905,1906,Felicia Farr,,,,F,,199x,RU:,Un
1906,1907,Jamie Farr,1965-1973,Farr,Jamie,M,,199x,R:long-nosed comic,Am
1907,1908,David Farrar,1938-1962,Farrar,David,M,1908,199x,R:tall; virile,Br
1908,1909,Derek Farr,1940-1955,Farr,Derek,M,,1986,R:lead,Ct
1909,1910,Geraldine Farrar,1915-1920,Farrar,Geraldine,F,1882,1967,R:dramatic,Am
1910,1911,Charles Farrell,1923-1960,Farrell,Charles,M,1901,199x,R:gentle,Am
1911,1912,Charles Farrell,1931-1958,Farrell,Charles,M,1901,1990,R:character,Ir
1912,1913,Glenda Farrell,1930-1968,Farrell,Glenda,F,1904,1971,R:comedienne,Am
1913,1914,Nick Farrell,,,,M,,199x,RU:,Un
1914,1915,Sharon Farrell,1959-1979,Farrell,Sharon,F,,199x,R:general purpose,Am
1915,1916,Mia Farrow,1964-1983,Farrow,Maria,F,1945,199x,R:lead,Am
1916,1917,Stephanie Farrow,1983,,,F,,199x,RU:,Un
1917,1918,Tisa Farrow,,,,F,,199x,RU:,Un
1918,1919,Rainer Fassbinder,1969-1975,Fassbinder,Rainer Werner,,,,,
1919,1920,M,1945,,,,1982,,R:lead,Ge
1920,1921,Graham Faulkner,,,,M,,199x,RU:,Un
1921,1922,James Faulkner,,,,M,,199x,RU:,Un
1922,1923,Farrah Fawcett,1971-1980,FawcettMajors,Farrah,F,1947,199x,R:pin-up,Am
1923,1924,Michelle Fawden,,,,F,,199x,RU:,Un
1924,1925,Alice Faye,1934-1978,Leppert,Alice,F,1912,1992,R:wry; singer,Am
1925,1926,Frank Faylen,1936-1968,Ruf,Frank,M,1907,199x,R:bartender; sherriff; gangster,Am
1926,1927,Louise Fazenda,1922-1939,Fazenda,Louise,F,1895,1962,R:lead,Am
1927,1928,Lynne Federicks,,,,F,,199x,RU:,Un
1928,1929,Birgitte Federspiel,,,,F,,199x,RU:,Un
1929,1930,Bekim Fehmiu,1966-1977,Fehmiu,Bekim,M,1932,199x,R:stalwart,Cz
1930,1931,Frances Feist,,,,F,,199x,RU:,Un
1931,1932,Fritz Feld,1929-1981,Feld,Fritz,M,1900,199x,R:dapper comedian,Ge
1932,1933,Marty Feldman,1969-1983,Feldman,Marty,M,1933,1982,R:pop-eyed comic,Br
1933,1934,Barbara Feldon,1967-1979,Feldon,Barbara,F,1939,199x,R:lead,Am
1934,1935,Tovah Feldshuh,1973-1983,Feldshuh,Tovah,F,,199x,R:lead,Am
1935,1936,Maria Felix,1947-1955,Felix,Maria,F,1915,199x,R:strong personality,Me
1936,1937,Norman Fell,1961-1981,Fell,Norman,M,1928,199x,R:sad-looking,Am
1937,1938,Rockliffe Fellowes,1917-1934,Fellowes,Rockliffe,M,1885,1950,R:general purpose,Ca
1938,1939,Edith Fellows,1932-1947,Fellows,Edith,F,1923,199x,R:teenage star,Am
1939,1940,Hansjoerg Felmy,1956-1966,Felmy,Hansjoerg,M,1931,199x,R:lead,Ge
1940,1941,Verna Felton,1950-1960,Felton,Verna,F,1890,1966,R:character,Am
1941,1942,Sherilyn Fenn,1985-1993,Fenn,Sherilyn,F,1965,199x,R:sexy,Ct
1942,1943,Sylvie Fennec,1989,Fennec,Sylvie,M,,199x,RU:,Be
1943,1944,Willie Fennell,,,,M,,199x,RU:,Un
1944,1945,Frank Fenton,1942-1958,Fenton,Frank,M,1906,1957,R:general purpose supporting,Am
1945,1946,Pamelyn Ferdin,,,,F,,199x,RU:,Un
1946,1947,Elsie Ferguson,1917-1927,Ferguson,Elsie,F,1883,1961,R:lead,Am
1947,1948,Frank Ferguson,1942-1968,Ferguson,Frank,M,1899,1978,R:toothy,Am
1948,1949,J. Don Ferguson,,,,M,,199x,RU:,Un
1949,1950,Jane Ferguson,,,,F,,199x,RU:,Un
1950,1951,Fernandel,1937-1967,Contandin,Fernand,M,1903,1971,R:rubber-faced,Fr
1951,1952,Wilhelmina Fernandez,1981,Fernandez,Wilhelmina Wiggins,F,,199x,R:singer,
1952,1953,Conchata Ferrell,1978-1981,Ferrell,Conchata,F,1943,199x,R:character,Am
1953,1954,Jose Ferrer,1948-1983,Ferrer y Centron,José Vincente,M,1909,1992,R:distinguished,Am
1954,1955,Mel Ferrer,1949-1981,Ferrer,Mel,M,1917,199x,R:sensitive-looking,Am
1955,1956,Benoit Ferreux,1970,,,M,1955,199x,R:sensitive,Fr
1956,1957,Noel Ferrier,,,,F,,199x,RU:,Un
1957,1958,Lou Ferrigno,,,,M,,199x,RU:,Un
1958,1959,Gabrielle Ferzetti,1948-1976,Ferzetti,Pasquale,M,1925,199x,R:lead,It
1959,1960,Stepin Fetchit,1929-1953,Perry,Lincoln,M,1898,1985,R:slow moving black servant,Am
1960,1961,Edwige Feuillere,1930-1964,Cunati,Edwige,F,1907,199x,R:distinguished,Fr
1961,1962,Lewis Fiander,1971-1978,Fiander,Lewis,M,1938,199x,RU:,Au
1962,1963,John Fiedler,1957-1982,Fiedler,John,M,1925,199x,R:mild; bespectacled,Am
1963,1964,Betty Field,1939-1968,Field,Betty,F,1918,1973,RU:,Am
1964,1965,Karen Field,,,,F,,199x,RU:,Un
1965,1966,Mary Field,1941-1948,Field,Mary,F,1905,199x,R:prissy spinster,Am
1966,1967,Sally Field,1965-1993,Field,Sally,F,1946,199x,R:diminutive neatnick,Am
1967,1968,Shirley Anne Field,1956-1966,Field,Shirley Anne,F,1938,199x,R:lead,Br
1968,1969,Sid Field,1946-1948,Field,Sid,M,1904,1950,R:comedian,Br
1969,1970,Virginia Field,1935-1965,Field,Margaret Cynthia,F,1917,199x,R:second lead,Br
1970,1971,Edward Fielding,,,,M,,199x,RU:,Un
1971,1972,Fenella Fielding,1962-1969,Fielding,Fenella,F,1930,199x,R:outrageously exaggerated roles,Br-Rm
1972,1973,Margaret Fielding,,,,F,,199x,RU:,Un
1973,1974,Marjorie Fielding,1943-1953,Fielding,Marjorie,F,1892,1956,R:strict but kindly gentlewomen,Br
1974,1975,Charles Fields,,,,M,,199x,RU:,Un
1975,1976,Gracie Fields,1931-1945,Stansfield,Gracie,F,1898,1979,R:inimitable voice,Br
1976,1977,W.C. Fields,,Dukenfield,William Claude,M,,199x,R:jolly,Am
1977,1978,Tom Filer,,,,M,,199x,RU:,Un
1978,1979,Dennis Fimple,,,,M,,199x,RU:,Un
1979,1980,Flora Finch,,Finch,Flora,F,1869,1940,RU:,Br
1980,1981,Jon Finch,1970-1978,Finch,Jon,M,1941,199x,R:lead,Br
1981,1982,Peter Finch,1937-1976,Finch,Peter,M,1916,1977,R:thoughtful-looking,Br
1982,1983,T.G. Finkbinder,,,,M,,199x,RU:,Un
1983,1984,Frank Finlay,1962-1982,Finlay,Frank,M,1926,199x,RU:,Br
1984,1985,James Finlayson,1921-1951,Finlayson,James,M,1877,1953,R:`double take and fade away',Br; Scots
1985,1986,William Finley,,,,M,,199x,RU:,Un
1986,1987,Warren Finnerty,,,,M,,199x,RU:,Un
1987,1988,Albert Finney,1959-1983,Finney,Albert,M,1936,199x,RU:,Br
1988,1989,Shirley Jo Finney,,,,F,,199x,RU:,Un
1989,1990,Elena Fiore,,,,F,,199x,RU:,Un
1990,1991,Eddie Firestone,,,,M,,199x,RU:,Un
1991,1992,Peter Firth,1971-1983,Firth,Peter,M,1953,199x,R:juvenile character lead,Br
1992,1993,Frances Fisher,,,,F,1952,199x,RU:,Am
1993,1994,O.W. Fischer,1942-1965,Fischer,O.W.,M,1915,1973,R:lead,Os
1994,1995,Larry Fishburne,,,,M,,199x,RU:,Un
1995,1996,Carrie Fisher,1975-1980,Fisher,Carrie,F,1956,199x,R:strong personality,Am
1996,1997,Cindy Fisher,,,,F,,199x,RU:,Un
1997,1998,Eddie Fisher,1950-1966,Fisher,Edwin Jack,M,1928,199x,RU:,Un
1998,1999,Frances Fisher,,,,F,,199x,RU:,Un
1999,2000,Minnie Maddern Fiske,1913-1915,Fiske,Minnie,F,1866,1932,RU:,Am
2000,2001,Barry Fitzgerald,1930-1959,Shields,William,M,1888,1961,R:diminutive,Ir
2001,2002,Ella Fitzgerald,1941-1960,Fitzgerald,Ella,F,1918,199x,R:singer,Am
2002,2003,Geraldine Fitzgerald,1935-1983,Fitzgerald,Geraldine,F,1912,199x,R:lead,Ir
2003,2004,Walter Fitzgerald,1930-1962,Bond,Walter,M,1896,1976,R:character,Br
2004,2005,Paul Fix,1928-1977,Morrison,Paul Fix,M,1901,1983,R:sheriffs; doctors,Am
2005,2006,Fannie Flagg,1970-1978,Flagg,Fannie,F,,199x,R:comedienne,Am
2006,2007,Steve Flagg,1953,St. Angel,Michael,M,,199x,RU:,Or
2007,2008,Kirsten Flagstad,1938-1938,Flagstad,Kirsten,F,1895,1962,R:operatic soprano,No
2008,2009,Ed Flanders,1971-1981,Flanders,Ed,M,1934,199x,R:Truman impersonator,Am
2009,2010,Susan Flannery,1974-1979,Flannery,Susan,F,1943,199x,R:general purpose,Am
2010,2011,James Flavin,1933-1967,Flavin,James,M,1906,1976,R:genial or bewildered cop,Ir-Am
2011,2012,Rhonda Fleming,,Louis,Marilyn,F,1922,199x,R:lead,Am
2012,2013,Cyril Fletcher,1943-1948,Fletcher,Cyril,M,1913,199x,R:comedian,Br
2013,2014,Louise Fletcher,1974-1983,Fletcher,Louise,F,1936,199x,R:character,Am
2014,2015,Jay C. Flippen,1934-1971,Flippen,Jay C.,M,1898,1971,R:bulky cop,Am
2015,2016,"George ""Buck"" Flower",,,,M,,199x,RU:,Un
2016,2017,Darlanne Fluegel,1978-1984,,,F,1958,199x,R:leggy Blonde,
2017,2018,Joel Fluellen,1946-1976,Fluellen,Joel,M,,199x,R:character,Am
2018,2019,Errol Flynn,1933-1959,Flynn,Errol,M,1909,1959,R:swashbuckler; drunk,Au
2019,2020,Joe Flynn,1956-1977,Flynn,Joe,M,1924,1974,R:bespectacated comedian,Am
2020,2021,Sean Flynn,1960-1970,Flynn,Sean,M,1941,1970,R:lead,Am
2021,2022,Nina Foch,1943-1988,Fock,Nina Consuelo Maud,F,1924,199x,R:chic cool blonde,Du
2022,2023,Bridget Fonda,1989-1992,Fonda,Bridget,F,1964,199x,RU:,Am
2023,2024,Henry Fonda,1942-1956,,,M,1905,1982,R:gauche sophisticated romantic,Am
2024,2025,Jane Fonda,1960-1988,Fonda,Jane,F,1937,199x,R:liberated,Am
2025,2026,Peter Fonda,1963-1982,Fonda,Peter,M,1939,199x,RU:,Am
2026,2027,Leo Fong,,,,M,,199x,RU:,Un
2027,2028,Joan Fontaine,1935-1979,deHavilland,Joan de Beauvoir,F,1917,199x,R:shy,Br
2028,2029,Genevieve Fontanel,1977,Fontanel,Geneviève,F,,199x,RU:,Fr
2029,2030,Margot Fonteyn,1983,Hookham,Peggy,F,,1991,R:ballet dancer,Br
2030,2031,Dick Foran,1934-1964,Foran,Nicholas,M,1910,1979,R:burly,Am
2031,2032,Bryan Forbes,1948-1964,Clarke,John,M,1926,199x,R:lively,Br
2032,2033,Mary Forbes,1929-1956,Forbes,Mary,F,1882,1974,R:haughty society lady,Br
2033,2034,Ralph Forbes,1921-1944,Taylor,Ralph,M,1902,1951,R:lead,Br
2034,2035,David Ford,,,,M,,199x,RU:,Un
2035,2036,Dorothy Ford,1944-1954,Ford,Dorothy,F,1923,199x,R:tall,Am
2036,2037,Francis Ford,1912-1952,Ford,Francis,M,1883,1953,R:grizzled; cheery westerner,Am
2037,2038,Glenn Ford,1939-1980,Ford,Gwyllyn,M,1916,1992,R:stocky,Ca
2038,2039,Harrison Ford,1932-1990,Ford,Harrison,M,1917,199x,R:action lead,Am
2039,2040,Paul Ford,1945-1967,Weaver,Paul Ford,M,1901,1976,R:character,Am
2040,2041,Wallace Ford,1932-1966,Grundy,Sam,M,1897,1966,R:general purpose,Br
2041,2042,Deborah Foreman,,,,F,,199x,RU:,Un
2042,2043,Mark Forest,1960-1964,Degni,Lou,M,1933,199x,R:muscle man,Am
2043,2044,George Formby,1933-1946,Formby,George,M,1905,1961,R:toothy grin,Br
2044,2045,Frederic Forrest,1972-1983,Forrest,Frederic,M,,199x,R:lead,Am
2045,2046,Mike Forrest,,,,M,,199x,RU:,Un
2046,2047,Steve Forrest,1952-1983,Andrews,William Forrest,M,1924,199x,R:lead,Am
2047,2048,Constance Forslund,,,,F,,199x,RU:,Un
2048,2049,Robert Forster,1967-1983,Forster,Robert,M,1942,199x,R:sardonic-looking,Am
2049,2050,Rudolph Forster,1932-1932,Forster,Rudolph,M,1884,1968,R:heavy personality,Ge
2050,2051,Bruce Forsyth,1968-1971,Forsyth,Bruce,M,1927,199x,R:bouncy; beaming,Br
2051,2052,Rosemary Forsyth,1965-1978,Forsyth,Rosemary,F,1944,199x,R:lead,Am
2052,2053,Henderson Forsythe,,,,M,,199x,RU:,Un
2053,2054,John Forsythe,1943-1981,Freund,John,M,1918,199x,R:smooth,Am
2054,2055,Nick Apollo Forte,,,,M,,199x,RU:,Un
2055,2056,Brigitte Fossey,1952-1982,Fossey,Brigitte,F,1945,199x,R:juvenile,Fr
2056,2057,Barry Foster,1956-1983,Foster,Barry,M,1931,199x,R:comic relief,Br
2057,2058,Dianne Foster,1951-1963,Laruska,D.,F,1928,199x,R:lead,Ca
2058,2059,Jodie Foster,1972-1982,Foster,Alicia Christian,F,1962,199x,R:child actress,Am
2059,2060,John Foster,,,,M,,199x,RU:,Un
2060,2061,Julia Foster,1963-1972,Foster,Julia,F,1941,199x,R:lead,Br
2061,2062,Meg Foster,1971-1984,Foster,Meg,F,,199x,R:striking blue eyes,Am
2062,2063,Norman Foster,1929-1967,Foster,Norman,M,1900,1976,R:lead,Am
2063,2064,Phil Foster,,,,M,,199x,RU:,Un
2064,2065,Preston Foster,1930-1968,Foster,Preston,M,1901,1970,R:handsome,Am
2065,2066,Robert Foster,,,,M,,199x,RU:,Un
2066,2067,Susanna Foster,1940-1945,Larsen,Susan,F,1924,199x,R:operatic singer,Am
2067,2068,Byron Foulger,1937-1969,Foulger,Byron,M,1900,1970,R:worried; bespeckled clerk,Am
2068,2069,Susannah Fowle,,,,F,,199x,RU:,Un
2069,2070,Harry Fowler,1942-1977,Fowler,Harry,M,1926,199x,R:cockney,Br
2070,2071,Douglas Fowley,1934-1977,Fowley,Douglas,M,1911,199x,R:nervous and comic gangster,Am
2071,2072,Bernard Fox,1956-1977,Fox,Bernard,M,,199x,R:stiff gent,Br
2072,2073,Edward Fox,1967-1984,Fox,Edward,M,1937,199x,R:diffident,Br
2073,2074,James Fox,1963-1984,Fox,James,M,1939,199x,R:weakling,Br
2074,2075,Michael J. Fox,1989,Fox,Michael J.,M,1961,199x,R:cute,Am
2075,2076,Sidney Fox,1931-1934,Fox,Sidney,F,1910,1942,R:lead,Am
2076,2077,William Fox,,Fried,Wilhelm,M,1879,1952,RU:,Hu-Am
2077,2078,Red Foxx,1990,Sanford,John Elroy,M,1922,1991,RU:,cantankerous
2078,2079,Eddie Foy jr.,1940-1967,Foy jr,Eddie,M,1905,1983,R:vaudeville,Am
2079,2080,C.V. France,1931-1944,France,C.V.,M,1868,1949,RU:,Br
2080,2081,Rolla France,,,,M,,199x,RU:,Un
2081,2082,Victor Francen,1921-1966,Francen,Victor,M,1888,1977,R:spy dramas,Be
2082,2083,Anthony Franciosa,1957-1982,Papaleo,Anthony,M,1928,199x,R:lithe and light grin,It-Am
2083,2084,Alec B. Francis,1919-1934,Francis,Alec B.,M,1869,1934,R:elderly gentleman,Br
2084,2085,Anne Francis,1948-1972,Francis,Anne,F,1930,199x,R:lead,Am
2085,2086,Arlene Francis,1943-1963,Francis,Arlene,M,1908,199x,R:lead,Am
2086,2087,Connie Francis,1963-1965,Franconero,Constance,F,1938,199x,R:pop singer,Am
2087,2088,Eve Francis,1922,Francis,Eve,F,,199x,R:lead,Fr
2088,2089,Ivor Francis,1970-1978,Francis,Ivor,M,,199x,R:character,Am
2089,2090,Kay Francis,1929-1946,Gibbs,Katherine,F,1899,1968,R:serious-faced,Am
2090,2091,Robert Francis,1954-1955,Francis,Robert,M,1930,1955,R:lead,Am
2091,2092,James Franciscus,1956-1982,Franciscus,James,M,1934,1991,R:lead,Am
2092,2093,Don Francks,1968-1968,Francks,Don,M,1932,199x,R:singer,Ca
2093,2094,Jacques Francois,1951,Fran{c}cois,Jacques,M,,199x,R:sr,Fr
2094,2095,Ben Frank,,,,M,,199x,RU:,Un
2095,2096,Charles Frank,1947-1953,Frank,Charles,M,1910,199x,RU:,Br
2096,2097,Richard Frank,,,,M,,199x,RU:,Un
2097,2098,Steve Franken,,,,M,,199x,RU:,Un
2098,2099,Paul Frankeur,,,,M,,199x,RU:,Un
2099,2100,Aretha Franklin,,,,F,,199x,R:singer,
2100,2101,Pamela Franklin,1961-1976,Franklin,Pamela,F,1949,199x,R:juvenile,Br
2101,2102,James Franks,,,,M,,199x,RU:,Un
2102,2103,Arthur Franz,1948-1982,Franz,Arthur,M,1920,199x,R:lead; character,Am
2103,2104,Eduard Franz,1948-1978,Franz,Eduard,M,1902,1983,R:character,Am
2104,2105,Bill Fraser,1969,Fraser,William,M,,1987,R:lead,Ct
2105,2106,John Fraser,1953-1977,Fraser,John,M,1931,199x,R:lead,Br
2106,2107,Liz Fraser,1958-1977,Fraser,Liz,F,1933,199x,R:dumb cockney blonde,Br
2107,2108,Richard Fraser,1941-1951,Fraser,Richard,M,1913,1971,R:lead,Br(Scots)
2108,2109,Ronald Fraser,1959-1982,Fraser,Ronald,M,1930,199x,R:stocky,Br
2109,2110,William Frawley,1933-1963,Frawley,William,M,1887,1966,R:stocky; cigar-chewing,Am
2110,2111,Robert Frazer,,,,M,,199x,RU:,Un
2111,2112,Sheila Frazer,,,,F,,199x,RU:,Un
2112,2113,Lynn Frederick,1970-1979,Frederick,Lynn,F,*,199x,R:lead,Br
2113,2114,Pauline Frederick,1915-1938,Frederick,Pauline,F,1883,1938,R:lead,Am
2114,2115,Vicki Frederick,,,,F,,199x,RU:,Un
2115,2116,Alan Freed,,,,M,,199x,RU:,Un
2116,2117,Bert Freed,1960-1979,Freed,Bert,M,,199x,R:burly,Am
2117,2118,Paul Freedman,,,,M,,199x,RU:,Un
2118,2119,Al Freeman jr,1964-1971,Freeman jr,Al,M,1934,199x,R:lead,Am
2119,2120,Amy Freeman,,,,F,,199x,RU:,Un
2120,2121,Howard Freeman,1943-1965,Freeman,Howard,M,1899,1967,R:comic,Am
2121,2122,Kathleen Freeman,1947-1974,Freeman,Kathleen,F,1919,199x,R:character,Am
2122,2123,Mona Freeman,1944-1958,Freeman,Monica,F,1926,199x,R:troublesome teenager,Am
2123,2124,Paul Freeman,,,,M,,199x,RU:,Un
2124,2125,Morna Freeman,,,,F,,199x,RU:,Un
2125,2126,Morgan Freeman,,,,M,,199x,RU:,Un
2126,2127,Leslie French,1941-1986,French,Leslie,M,1899,199x,R:diminutive,Br
2127,2128,Pierre Fresnay,1915-1960,Laudenbach,Pierre-Jules-Lions,M,1897,1975,R:[6],Fr
