,ID,TITLE,RELEASE_YEAR,PRODUCER_NAME,STUDIO,GENRE
918,TB45,The Unholy Three,1929,PN:,SU:,
919,TB50,The Unholy Three,1930,PN:,SU:,Ctxx
920,TB55,Dracula,1930,P:Carl Laemmle jr.,St:Universal,Horr
921,TB60,Freaks,1932,P:T.Browning,St:MGM,Horr
922,TB67,The Mark of the Vampire,1935,PN:E.J. Mannix,St:MGM,Horr
923,TB70,The Devil Doll,1936,PN:,SU:,Horr
924,WAS50,Boy Crazy,1922,PN:,SU:,Ctxx
925,WAS70,Girl Crazy,1932,PN:,SU:,Ctxx
926,WAS77,Sons of the Desert,1933,P:Roach,SU:,Comd
927,WAS80,The Richest Girl in The World,1932,P:Berman,St:RKO,Comd;Romt
928,WAS82,If Only You Could Cook,1935,P:,St:Columbia,Comd
929,WAS83,Roberta,1935,P:Berman,St:RKO,Musc
930,WAS85,The Moon's Our Home,1936,PN:,SU:,Comd
931,WAS90,This Is My Affair,1937,PN:,SU:,Ctxx
932,WAS95,Room Service,1938,P:Berman,St:Warners,Comd
933,WAS100,Three Blind Mice,1938,P:R.Griffith,St:Fox,Comd
934,WAS110,Broadway,1942,PN:,SU:,Ctxx
935,WAS115,Tm:A Lady Takes a Chance,1943,P:F.Ross,St:RKO,Romt
936,WAS120,The Affairs of Susan,1945,PN:,SU:,Ctxx
937,WAS125,Lover Come Back,1945,PN:Howard Benedict,St:Universal,Comd
938,WAS130,A Touch of Venus,1948,PN:,SU:,Romt
939,WvD33,Spoilers of the West,1928,P:Selznick,St:MGM,West
940,WvD34,Wyoming,1928,P:Selznick,St:MGM,Dram
941,WvD36,White Shadows in the South Seas,1928,PN:,St:MGM,Dram
942,WvD38,Trader Horn,1930,PN:,SU:,Ctxx
943,WvD43,Tarzan the Ape Man,1932,PN:,St:MGM,
944,WvD49,Forsaking All Others,1934,PN:,SU:,Comd;Romt
945,WvD50,Manhattan Melodrama,1934,PN:,SU:,Dram
946,WvD51,The Thin Man,1934,P:Stromberg,St:MGM,Comd
947,WvD53,Naughty Marietta,1935,P:Stromberg,St:MGM,Musc
948,WvD54,I Live My Life,1935,PN:,SU:,Comd;Romt
949,WvD56,San Francisco,1936,PN:John Emerson,St:MGM,Disa
950,WvD57,Love on the Run,1936,PN:,SU:,Comd;Romt
951,WvD58,Rose Marie,1936,P:Stromberg,St:MGM,Musc
952,WvD60,After The Thin Man,1936,P:Stromberg,St:MGM,Comd
953,WvD64,Marie Antoinette,1938,PN:,St:MGM,Epic; BioP
954,WvD65,Sweethearts,1938,PN:,S:MGM,Romt
955,WvD67,It's A Wonderful World,1939,PN:Frank Davis,St:MGM,Myst;Comd
956,WvD69,Another Thin Man,1939,P:Stromberg,St:MGM,Comd
957,WvD70,Andy Hardy Gets Spring Fever,1939,PN:,St:MGM,Comd
958,WvD72,Bitter Sweet,1939,P:V.Saville,St:MGM,Romt
959,WvD75,Rage in Heaven,1941,P:G.Reinhardt,St:MGM,Susp
960,WvD76,Shadow of the Thin Man,1941,PN:,SU:,Comd
961,WvD78,I Married an Angel,1942,PN:,SU:,Ctxx
962,WvD79,Cairo,1942,P:J.Mankiewicz,St:MGM,Comd;Dram
963,AlP10,The Eyes of Youth,1919,PN:,St:Standard,Dram
964,AlP50,Tm:Blind Man's Bluff,1936,PN:,St:British Fox,Dram
965,C30,The Way of Terror,1921,PN:,SL:Austria,CTxx
966,C40,Moon of Israel,1924,PN:,SL:Austria,Epic
967,C65,The Third Degree,1926,PN:,SU:,Ctxx
968,C76,Mammy,1930,PN:,SU:,Ctxx
969,C87,Doctor X,1932,PN:,SU:,Ctxx
970,C89,Twenty-Thousand Years in Sing Sing,1933,P:Warners,SU:,
971,C91,The Mystery of the Wax Museum,1933,PN:,SU:,Horr
972,C94,The Kennel Murder Case,1933,PN:,St:Warners,Myst
973,C98,British Agent,1934,PN:,SU:,Ctxx
974,C101,Black Fury,1935,PN:,SU:,Ctxx
975,C102,Front Page Woman,1935,PN:,SU:,Ctxx
976,C104,Captain Blood,1935,PN:Harry Joe Brown,St:Warners,Advt
977,C106,Tm:Charge of the Light Brigade,1936,P:Wallis; Bischoff,St:Warners,Advt
978,C109,Kid Galahad,1937,PU:,S:Warners,Dram
979,C112,The Adventures of Robin Hood,1938,P:Wallis,St:Warners,Advt
980,C113,Four Daughters,1938,P:Blanke,St:Warners,Romt
981,C115,Angels with Dirty Faces,1938,P:Bischoff,St:Warners,Dram
982,C117,Daughters Courageous,1938,P:Wallis,St:First National,Romt
983,C118,The Private Lives of Elizabeth and Essex,1939,PN:Robert Lord,St:Warners,BioP
984,C119,Dodge City,1939,PN:Robert Lord,St:Warners,West
985,C120,Four Wives,1939,PN:Hal Wallis,St:Warners,Romt
986,C121,The Sea Hawk,1940,PN:Hal B. Wallis,St:Warners,
987,C122,The Santa Fe Trail,1940,PN:Robert Fellows,St:Warners,West
988,C123,Virginia City,1940,PN:Robert Fellows,St:Warners,West1
989,C124,The Sea Wolf,1941,P:Blanke,St:Warners,Susp
990,C126,Yankee Doodle Dandy,1942,PN:,SU:,Musc
991,C127,Casablanca,1942,PN:Hal B. Wallis,St:Warners,
992,C129,This is The Army,1943,PN:,SU:,Ctxx
993,C131,Passage to Marseilles,1944,P:Wallis,St:Warners,Susp
994,C134,Mildred Pierce,1945,PN:Jerry Wald,St:Warners,Dram
995,C135,Night and Day,1946,PN:,SU:,Musc;BioP
996,C136,Life with Father,1947,P:Robert Buckner,St:Warners,Romt; Dram
997,C140,Flamingo Road,1949,PN:Jerry Wald,SU:,Dram
998,C142,Young Man with a Horn,1950,PN:Jerry Wald,St:Warners,BioP
999,C143,The Breaking Point,1950,PN:Jerry Wald,St:Warners,Advt
1000,C146,Force of Arms,1951,P:Anthony Veiller,St:Warners,Romt
1001,C157,The Jazz Singer,1953,PN:Louis F. Edelman,St:Warners,Musc
1002,C160,We're No Angels,1954,PN:Pat Duggan,St:Paramount,Comd
1003,C161,White Christmas,1954,PN:Robert Emmet Dolan,St:Paramount,Musc
1004,C165,The Vagabond King,1956,PN:Pat Duggan,St:Paramount,Musc
1005,C171,The Adventures of Huckleberry Finn,1960,P:Greenhut,St:MGM,Advt
1006,CBa30,The Golden Princess,1919,PN:,St:Paramount,West
1007,CBa40,It,1927,P:B.P. Schulberg,St:Famous Players-Lasky,Romt
1008,CBa45,Paris,1929,P:,St:Warners,Romt
1009,CBa50,No No Nanette,1930,P:,St:Warners,Romt
1010,EmC10,The Mystery of the Yellow Room,1919,PN:Paramount,SL:Fr,Myst
1011,FL4,Hara Kiri,1919,PN:,SU:,Ctxx
1012,FL8,Der Müde Tod,1921,PN:,SU:,Fant
1013,FL9,Dr. Mabuse; der Spieler,1922,PN:,SU:,Susp
1014,FL11,Sigfried,1923,P:Pommer,St:Decla-Bioscoop,Epic
1015,FL12,Krimhild's Revenge,1924,P:Pommer,St:Decla-Bioscoop,Epic
1016,FL13,Metropolis,1926,PN:Erich Pommer,St:UFA,ScFi
1017,FL14,The Spy,1927,PN:,SU:,Dram
1018,FL15,Die Frau im Mond,1928,PN:,SU:,Fant
1019,FL16,M,1931,PN:Seymour Nebenzal,St:Nero Film,Dram;Susp
1020,FL17,Das Testament des Dr. Mabuse,1932,PN:,SU:,Ctxx
1021,FL18,Liliom,1933,PN:,SU:,Ctxx
1022,FL19,Fury,1936,P:J.Mankiewicz,St:MGM,Dram
1023,FL20,You only Live Once,1937,P:Wanger,St:U.A.,Actn
1024,FL23,Western Union,1941,PN:Harry Joe Brown,St:Fox,West
1025,FL24,Manhunt,1941,P:MacGowan,St:Fox,
1026,FL26,Hangmen Also Die,1942,PN:,SL:USA,
1027,FL27,The Woman in the Window,1944,P:Nunally J.,St:International,Susp
1028,FL28,Ministry of Fear,1944,PN:Seton I. Miller,St:Paramount,Susp
1029,FL29,Scarlet Street,1945,P:Wanger,St:Universal,Dram
1030,FL30,Tm:Cloak and Dagger,1946,PN:Milton Sperling,St:United States Pictures,Advt
1031,FL35,Tm:Clash by Night,1952,PN:Harriet Parsons,St:RKO,Dram
1032,FL37,The Big Heat,1953,PN:Robert Arthur,St:Columbia,Susp
1033,FL40,Human Desire,1954,PN:,SU:,Ctxx
1034,FL41,Moonfleet,1955,PN:,SU:,Ctxx
1035,FL42,While the City Sleeps,1955,PN:,SU:,Ctxx
1036,FL43,Beyond a Reasonable Doubt,1956,PN:,SU:,Ctxx
1037,FL44,Der Tiger von Ischnapur,1958,PN:,SU:,Ctxx
1038,FL45,Das Indische Grabmal,1958,PN:,SU:,Ctxx
1039,FL46,Die Tausend Augen des Dr. Mabuse,1960,PN:,SU:,Ctxx
1040,FM3,Nosferatu,1921,PN:,St:Prana; Kino,Horr
1041,FM4,Der Letzte Mann,1924,PN:,St:UFA,Dram
1042,FM6,Faustus,1926,P:,St:UFA,Dram
1043,FM7,Sunrise,1927,P:,St:Fox,Romt
1044,FM9,City Girl,1930,P:Fox,SL:USA,Dram
1045,FM10,Tabu,1931,P:F.W.Murnau; Flaherty,SL:USA; SD:Paramount,Dram;Romt
1046,GAr50,College Coquette,1929,PN:,SU:,Ctxx
1047,GAr58,Thirteen Women,1932,P:Selznick,St:RKO,Myst
1048,GAr59,The Penguin Pool Murder,1932,PN:,St:RKO,Susp;Comd
1049,GAr60,The Lost Squadron,1932,P:Selznick,St:RKO,Advt;Dram
1050,GAr80,Some Like It Hot,1939,PN:William C. Thomas,St:Paramount,Comd
1051,GF30,The Man from Home,1922,PN:,St:FPL,Dram
1052,GF31,The Three Ghosts,1922,PN:,St:FPL,Dram
1053,GF40,Bella Donna,1923,PN:,SU:,Ctxx
1054,GF60,Dark Angel,1925,PN:,SU:,Ctxx
1055,GF70,Son of The Sheik,1926,PN:,SU:,Romt
1056,GF90,Lilac Time,1928,P:Fitzmaurice,SL:GB,Romt
1057,GF150,Mata Hari,1932,PN:,St:MGM,Dram
1058,GF160,As You Desire Me,1932,P:Fitzmaurice,St:MGM,Dram
1059,GF170,Suzy,1936,PN:Louis D. Lighton,St:MGM,Dram
1060,GAr100,The Kansan,1943,PN:,SU:,CTxx
1061,HB30,Main Street,1923,PN:,SU:,
1062,HB40,Beau Brummel,1924,P:,St:Warners,
1063,HB50,Babbitt,1924,PN:,SU:,
1064,HB60,His Majesty Bunker Bean,1925,PN:,SU:,Comd
1065,HB70,Our Dancing Daughters,1928,P:Stromberg,SU:,
1066,HB80,Broadway Melody,1929,PN:Lawrence Weingarten,St:MGM,
1067,HB85,Dance; Fools; Dance,1931,PN:,SU:,Dram;Actn
1068,HB86,Laughing Sinners,1931,PN:,St:MGM,Dram
1069,HB90,When Ladies Meet,1933,PN:,SU:,Ctxx
1070,HB95,Murder in the Private Car,1934,P:Hubbard,St:MGM,Susp
1071,HuF8,Mrs. Wiggs of the Cabbage Patch,1919,PN:,St:Paramount,Comd;Dram
1072,HuF10,The Great Day,1920,PN:,St:FPL,
1073,HuF11,The Call of Youth,1920,PN:,St:FPL,
1074,JuD2,Poil de Carotte,1925,PN:,SU:,
1075,JuD3,Poil de Carotte,1932,PN:,SU:,Ctxx
1076,JuD5,Maria Chapdelaine,1933,PN:,SU:,Ctxx
1077,JuD6,Le Golem,1935,PN:,SU:,Ctxx
1078,JuD7,La Belle Equipe,1936,PN:,SU:,Ctxx
1079,JuD8,Pépé le Moko,1937,P:,St:Paris Film,Romt
1080,JuD9,Une Carnet de Bal,1937,PN:,St:French,
1081,JuD10,The Great Waltz,1938,PN:Bernard Hyman,St:MGM,Dram;Musc
1082,JuD11,La Fin de Jour,1939,PN:,SU:,Ctxx
1084,JuD12,Lydia,1941,PN:,SL:USA,
1085,JuD13,Tales of Manhattan,1942,PN:Boris Morros; Sam Spiegel,SU:,Comd
1086,JuD15,Panique,1946,PN:,SU:,F; NoirSusp
1087,JuD16,Anna Karenina,1948,P:A.Korda,St:London,
1088,JuD19,Don Camillo,1952,PN:,SU:,
1089,JuD20,La Fete a Henriette,1952,PN:,SU:,Comd;Romt
1090,JuD25,The Man in the Raincoat,1957,PN:,SU:,Ctxx
1091,JuD34,Pot-Boullie,1957,PN:,SU:,Ctxx
1092,RhS1,Around The World in 80 Days,1919,PN:,SU:,Adctx
1093,RhS15,Die Dreigroschenoper,1931,PN:,SU:,Musc
1094,RhS20,Viktor und Viktoria,1933,PN:,St:UFA,Dram
1095,RhS30,Amphityron,1937,PN:,SU:,Ctxx
1096,RhS35,Rich Man; Poor Girl,1938,PN:,SU:,Ctxx
1097,RhS40,The Great Awakening,1941,PN:,SU:,Ctxx
1098,RiO10,Pagu,1916,PN:,SU:,Ctxx
1099,RiO15,Round the World in Eighty Days,1919,PN:,SU:,Advt
1100,RiO25,Victoria and Her Hussar,1931,PN:,SU:,Comd
1101,RiO30,Der Hauptmann von Köpenick,1932,PN:,SU:,Comd
1102,RiO40,I Was A Criminal,1941,PN:,SL:US,Ctxx
1103,RiO42,Isle of Missing Men,1942,PN:,SL:US,Ctxx
1104,RiO50,The Lovable Cheat,1949,PN:,SL:US,Comd
1105,RW1,Das Kabinett des Dr. Caligari,1919,PN:Erich Pommer,St:Decla-Bioscoop,Horr
1106,RW10,Genuine,1920,PN:,SU:,Ctxx
1107,RW20,Raskolnikov,1923,PN:,SU:,Ctxx
1108,RW30,The Hands of Orlac,1924,PN:,SU:,Horr
1109,CBw9,The Eagle,1925,PN:,St:U.A.;MGM,Romt
1110,CBw10,The Goose Woman,1925,PN:,St:MGM,
1111,CBw12,Flesh and the Devil,1926,PN:,St:MGM,Dram
1112,CBw15,A Woman of Affairs,1928,PN:,St:MGM,Dram
1113,CBw17,Anna Christie,1930,PN:,St:MGM,Dram
1114,CBw18,Romance,1930,PN:,St:MGM,Romt
1115,CBw19,Inspiration,1930,PN:,St:MGM,Romt
1116,CBw22,Possessed,1931,PN:,St:MGM,Dram
1117,CBw26,Night Flight,1933,PN:,St:MGM,Ctxx
1118,CBw27,Sadie McKee,1934,PN:,St:MGM,Romt;Musc
1119,CBw28,Chained,1934,PN:,St:MGM,Romt
1120,CBw29,Anna Karenina,1935,P:Selznick,St:MGM,
1121,CBw30,Ah Wilderness,1935,PN:,St:MGM,Comd
1122,CBw31,The Gorgeous Hussy,1936,P:J.L.Mankiewicz,St:MGM,Romt;BioP
1123,CBw32,Wife vs Secretary,1936,PN:,St:MGM,Romt;Comd
1124,CBw33,Conquest,1937,PN:Bernard Hyman,St:MGM,BioP
1125,CBw35,Idiot's Delight,1939,PN:,SU:,Comd
1126,CBw36,The Rains Came,1939,PN:Harry Joe Brown,St:Fox,Romt
1127,CBw37,Edison The Man,1940,PN:John W. Considine jr,St:MGM,BioP
1128,CBw38,Come Live With Me,1941,P:Cl.Brown,St:MGM,Comd; Romt
1129,CBw40,The Human Comedy,1943,P:Cl.Brown,St:MGM,CTxx
1130,CBw41,The White Cliffs of Dover,1944,PN:Sidney Franklin,St:MGM,Romt;Epic
1131,CBw42,National Velvet,1945,P:Berman,St:MGM,Dram
1132,CBw43,The Yearling,1946,P:S.Franklin,St:MGM,Dram
1133,CBw45,Intruder in the Dust,1949,P:Cl.Brown,St:MGM,Dram
1134,CBw48,Angels in the Outfield,1952,P:Cl.Brown,St:MGM,Comd; Romt
1135,CDr2,Leaves from Satan's Book,1920,PN:,SU:,
1136,CDr5,Once Upon a Time,1922,PN:,SU:,Ctxx
1137,CDr9,The Passion of Joan of Arc,1928,P:Dreyer,SU:,Dram
1138,CDr10,Vampyr,1932,PN:Dreyer; Nicholas DeGunzburg,St:Klang,Horr
1139,CDr30,Vredens Dag,1943,PN:,St:Palladium SL:Denmark,Dram
1140,CDr40,Ordet,1955,PN:,SU:,Dram
1141,CuB30,Devotion,1944,PN:,SU:,Ctxx
1142,CuB32,My Reputation,1946,PN:,SU:,Ctxx
1143,CuB33,A Stolen Life,1946,PN:,SU:,Ctxx
1144,CuB34,Possessed,1947,PN:,SU:,Dram
1145,CuB37,The Merry Widow,1952,PN:Joe Pasternak,St:MGM,Musc
1146,CuB39,Miss Sadie Thompson,1953,PN:,SU:,Musc
1147,CuB40,Beau Brummel,1954,P:Zimbalist,St:MGM,Dram
1148,CuB44,Kisses for My President,1964,P:Bernhardt,St:Warners,Comd
1149,FB13,Seventh Heaven,1927,P:,St:Fox,Romt
1150,FB15,Street Angel,1928,P:,St:Fox,Romt
1151,FB21,Lucky Star,1929,PN:,SU:,Dram
1153,FB27,A Farewell to Arms,1932,P:Borzage,St:Paramount,Romt
1154,FB29,A Man's Castle,1933,P:Borzage,St:Columbia,Romt
1155,FB39,Desire,1936,P:Lubitsch,SU:,Romt
1156,FB40,Hearts Divided,1936,P:Harry Joe Brown,St:Warners,Romt
1157,FB42,The Big City,1937,PN:Norman Krasna,St:MGM,Dram
1158,FB43,Mannequin,1937,PN:,SU:,Dram
1159,FB45,Three Comrades,1938,P:J.L.Mankiewicz,St:MGM,Dram
1160,FB51,Strange Cargo,1940,PN:,SU:,Dram
1161,FB52,The Mortal Storm,1940,P:S.Franklin,St:MGM,Dram
1162,FB61,Moonrise,1949,PN:,SU:,Ctxx
1163,GCt20,The White Shadow,1923,P:Balcon,St:B-S-F; SD:Wardour,Dram
1164,GCt21,The Prude's Fall,1923,P:Balcon,St:B-S-F; SD:Wardour,
1165,GCt27,Woman to Woman,1926,PN:,SU:,Dram
1166,GCt30,The Rat,1927,PN:,SU:,Ctxx
1167,GCt40,The Sign of Four,1932,PN:,SU:,Ctxx
1169,GCt50,Three Men in a Boat,1933,PN:,St:ATP,Comd
1170,GCt60,Aren't Men Beasts,1937,PN:,SU:,Ctxx
1171,GCt70,Just William,1927,PN:,SU:,Ctxx
1172,GRi10,L'innamorata,1920,PN:,St:Pert-Pittalunga,Romt
1173,GRi50,Peddlin' in Society,1946,PN:,SU:,Ctxx
1174,HBl10,Stronger than Death,1920,PN:,SU:,Dram
1175,HBl20,The Saphead,1921,PN:,SU:,Comd
1176,HWx4,Nell Gwynn,1924,P:H.Wilcox,SU:,Ctxx
1177,HWx5,Dawn,1928,P:H.Wilcox,St:British and Dominion,
1178,HWx9,The Little Demozel,1933,PN:,St:British and Dominion,Romt
1179,HWx10,Bitter Sweet,1933,P:H.Wilcox,St:British and Dominion,
1180,HWx11,Nell Gwynn,1934,P:H.Wilcox,SU:,BioP
1181,HWx16,Victoria the Great,1937,P:H.Wilcox,St:British Lion,BioP
1182,HWx17,Sixty Glorious Years,1938,P:H.Wilcox,St:Imperator,BioP
1183,HWx19,Nurse Edith Cavell,1939,P:H.Wilcox,St:RKO,
1184,HWx20,Sunny,1939,P:H.Wilcox,St:RKO,
1185,HWx21,No No Nanette,1940,P:H.Wilcox,St:Warners,Romt;Musc
1186,HWx22,Irene,1940,P:H.Wilcox,St:RKO,Musc
1187,HWx45,Picadilly Incident,1946,P:H.Wilcox,St:ABP,Dram
1188,HWx47,Spring in Park Lane,1948,P:H.Wilcox,SU:,CTxx
1189,HWx50,Odette,1950,P:H.Wilcox,SU:,Ctxx
1190,HWx54,Trent's Last Case,1952,PN:Herbert J. Yates,St:Republic,Susp
1191,HWx55,Lilacs in the Spring,1954,P:H.Wilcox,St:Republic,Dram
1192,HWx60,The Man Who Wouldn't Talk,1957,P:H.Wilcox,St:British Lion,Dram
1193,JWH10,The Third Eye,1920,PN:,SU:,Comd
1194,JWH12,The High Sign,1920,PN:,SU:,Comd
1195,JWH13,The Scarecrow,1920,PN:,SU:,Comd
1196,JWH14,The Goat,1921,PN:,SU:,Comd
1197,JWH20,American Manner,1924,PN:,SU:,Comd
1198,JWH30,College,1927,PN:,SU:,Comd
1199,JWH40,Big Business,1929,P:Roach,SU:,Comd
1200,JWH48,Laughing Gravy,1931,P:Roach,SU:,Comd
1201,JWH50,Beau Hunks,1931,P:Roach,SU:,Comd
1202,JWH60,The Painted Desert,1931,P:,St:MGM,West
1203,JWH70,Bonnie Scotland,1935,P:Roach,St:MGM,Comd
1204,JWH75,The Bohemian Girl,1936,PN:,SU:,Comd
1205,JWH80,Way Out West,1937,PN:Stan Laurel,St:Roach,Comd
1206,JWH100,The Spider Returns,1941,P:,St:Columbia,Susp
1207,JWH120,Holt of the Secret Sevice,1942,PN:,SU:,Comd
1208,LD1,Le Silence,1921,PN:,SU:,Ctxx
1209,LD2,Fièvre,1921,PN:,SU:,Ctxx
1210,LD3,Le Chemin d'Enroa,1921,PN:,SU:,Ctxx
1211,LD4,Le Tonnerre,1921,PN:,SU:,Ctxx
1212,LD5,La femme de nulle part,1922,PN:,SU:,Ctxx
1213,LD6,L'innodation,1924,PN:,SU:,Ctxx
1214,LPo10,Narayana,1920,PN:,SU:,Dram; Fant
1215,RoF1,Nanook of the North,1920,PN:,SU:,Docu
1216,RoF10,Moana,1926,PN:,SU:,Docu
1217,RoF20,Man of Aran,1934,PN:Michael Balcon,St:Gainsborough,Docu
1218,RoF30,Elephant Boy,1937,PN:Alexander Korda,SU:,Docu
1219,SW2,Beyond the Rocks,1922,PN:,St:Paramount,Dram
1220,SW3,Bluebeard's Eighth Wife,1923,PN:,SU:,CTxx
1221,SW6,Paid,1932,PN:,SU:,Dram
1222,SW7,The Barbarian,1933,PN:,St:MGM,Romt;Musc
1223,SW8,Hold Your Man,1933,PN:,SU:,Comd
1224,SW10,A Night at the Opera,1935,P:Thalberg,St:MGM,Comd
1225,SW12,A Day at the Races,1937,PN:,St:MGM,Comd
1226,SW13,Madame X,1937,PN:James K. McGuiness,St:MGM,Dram
1227,SW15,Goodbye Mr. Chips,1939,P:V.Saville,St:MGM SL:London,Dram
1228,SW17,Our Town,1940,PN:,SU:,CTxx
1229,SW18,Kitty Foyle,1940,PN:Harry E. Edgington; David Hempstead,St:RKO,Dram
1230,SW19,The Devil and Miss Jones,1941,PN:Frank Rose; Norman Krasna,St:RKO,Comd
1231,SW21,King's Row,1940,PN:David Lewis,St:Warners,Dram
1232,SW22,For Whom the Bell Tolls,1943,P:S.Wood,St:Paramount,Advt
1233,SW25,Casanova Brown,1944,P:Nunally J.,S:International,Comd
1234,SW28,Saratoga Trunk,1945,P:Wallis,St:Warners,Dram
1235,SW30,Heartbeat,1946,PN:Robert Hakim; Raymond Hakim,St:RKO,Susp
1236,SW31,Ivy,1947,PU:,SU:,CTxx
1237,SW32,Command Decision,1948,PU:,SU:,CTxx
1238,SW33,Stratton Story,1949,PN:Jack Cummins,SU:,BioP
1239,SW34,Ambush,1950,PU:,SU:,CTxx
1240,VF17,Lord Jim,1925,PN:,St:Paramount,Dram|
1241,VF19,Mantrap,1926,PN:B.P. Shulman,St:Paramount,Dram
1242,VF23,The Way of All Flesh,1928,P:,St:Paramont,Dram
1243,VF25,Wolf Song,1929,P:,St:Paramont,Dram
1244,VF26,The Virginian,1929,PN:,St:MGM,Ctxx
1245,VF31,Around the World in Eighty Minutes,1931,PN:,St:MGM,Advt
1246,VF32,The Wet Parade,1932,PN:,St:MGM,Ctxx
1247,VF33,Red Dust,1932,P:Stromberg,St:MGM,Advt
1248,VF36,Treasure Island,1934,PN:Hunt Stromberg,St:MGM,Advt
1249,VF37,Our Daily Bread,1934,PN:,St:MGM,Dram
1250,VF38,Bombshell,1935,PN:,St:MGM,Com;Romt
1251,VF39,Reckless,1935,P:Selznick,St:MGM,BioP
1252,VF41,Captains Courageous,1937,PN:Louis D. Lighton,St:MGM,Advt
1253,VF42,Test Pilot,1938,PN:,St:MGM,Actn
1254,VF43,The Wizard of Oz,1939,P:M.LeRoy,St:MGM,Fant
1255,VF44,Gone with the Wind,1939,P:Selznick,St:MGM,Dram
1256,VF45,Dr. Jekyll and Mr. Hyde,1941,P:V.Saville,St:MGM,Fant
1257,VF46,Tortilla Flat,1942,PN:,St:MGM,Dram
1258,VF47,A Guy Named Joe,1944,PN:Everett Riskin,St:MGM,Romt
1259,VF48,Joan of Arc,1948,P:Wanger,St:MGM,Dram
1260,ViH20,Animal Crackers,1930,PN:,St:Paramount SL:Astoria L.I.,Comd
1261,Z2010,Within Our Gates,1920,PN:,SU:,Ctxx
1262,AdB10,The Man Without Desire,1923,PN:,SU:,Ctxx
1263,AdB20,Blighty,1927,PN:,SU:,Ctxx
1264,AdB21,The Constant Nymph,1927,P:Balcon,St:Islington,Romt
1265,AnD10,L'Uomo Meccanico,1921,PN:,St:Milano,Ctxx
1266,EdS50,The Cameraman,1928,PN:Lawrence Weingarten,St:MGM,Comd
1267,EdS60,Free and Easy,1930,PN:,SU:,Comd
1268,EdS65,Parlor; Bedroom; and Bath,1931,PN:,SU:,Comd
1269,EdS70,The Passionate Plumber,1932,PN:,SU:,
1270,EdS75,Speak Easily,1932,PN:,St:MGM,Comd
1271,EHG15,Holiday,1930,PN:E.B. Derr,St:Pathe,Romt
1272,EHG20,The Animal Kingdom,1932,P:Selznick,St:RKO,Dram
1273,EHG30,Next Time We Love,1936,P:Paul Kohner,St:Universal,Dram
1274,EHG38,Safari,1940,P:Anthony Veiller,St:Paramount,Dram
1275,EHG48,Young and Willing,1942,PN:Edward H. Griffith,St:Paramount; SD:U.A.,Comd
1276,EHG50,The Sky's the Limit,1943,PN:,St:RKO,Musc
1277,PRo30,Abraham Lincoln,1925,PN:,SU:,CTxx
1278,PRo55,Sphinx,1933,PN:,St:Monogram,Susp
1279,PRo80,Charlie Chan in the Secret Service,1944,PN:,St:Monogram,Comd; Myst
1280,PRo83,The Chinese Cat,1944,PN:,St:Monogram,Myst; Comd
1281,PRo86,Charlie Chan in Black Magic,1944,PN:,St:Monogram,Comd; Myst
1282,PRo90,The Jade Mask,1945,PN:,St:Monogram,Myst; Comd
1283,PRo93,The Scarlet Clue,1945,PN:,St:Monogram,Myst; Comd
1284,PRo96,The Red Dragon,1945,PN:,St:Monogram,Myst; Comd
1285,RaI50,Murder at Monte Carlo,1934,PN:Irving Asher,PN:Irving Asher,bnw
1286,RaI55,No Exit,1934,PU:,SU:,Susp
1287,RaI60,The Man Who Made Diamonds,1937,PN:,SU:,Ctxx
1288,RCS10,Camille,1921,PN:,SU:,Dram
1289,RxI1,The Four Horsemen of the Apocalypse,1921,PN:,SU:,
1290,RxI10,Prisoner of Zenda,1922,PN:,SU:,
1291,RxI20,Scaramouche,1923,PN:,SU:,
1292,RxI30,Mare Nostrum,1926,PN:,SU:,
1293,RxI40,The Garden of Allah,1927,PN:,SU:,Ctxx
1294,RxI50,Love in Morocco,1933,PN:,SU:,Ctxx
1295,SaT4,Dr. Jack,1922,PN:,SU:,Comd
1296,SaT5,Grandma's Boy,1922,PN:,SU:,Comd
1297,SaT6,Why Worry,1923,PN:,SU:,Comd
1298,SaT8,Girl Shy,1924,PN:,SU:,Comd
1299,SaT9,Hot Water,1924,PN:,SU:,Comd
1300,SaT10,For Heaven's Sake,1926,PN:,SU:,Comd
1301,SaT12,My Best Girl,1927,PN:,SU:,Ctxx
1302,SaT13,The Woman Disputed,1927,PN:,SU:,Ctxx
1303,SaT15,The Taming of the Shrew,1927,PN:,St:U.A.,Comd
1304,SaT17,Coquette,1929,PN:Mary Pickford,St:U.A.,w
1305,SaT20,The Cat's Paw,1934,PN:,SU:,Comd
1306,SaT23,Nothing But Trouble,1945,P:B.F. Ziedman,St:MGM,Comd
1307,VMa20,The Bedbug,1929,PU:,SL:Ru,Ctxx
1308,Z2110,The Great Impersonation,1921,PU:,SU:,Ctxx
1309,CBy10,Salome,1922,PN:,SU:,Dram
1310,DMu2,High Speed,1922,PN:,SU:,Ctxx
1311,DMu4,Ballet Mechanique,1922,PN:Fernand Leger,SU:,Surr
1312,DMu10,Emperor Jones,1933,PN:,SU:,CTxx
1313,FNm10,Doctor Jack,1922,PN:,SU:,Comd
1314,HL2,Grand-Ma's Boy,1922,PN:,SU:,Ctxx
1315,HL8,The Freshman,1925,PN:,SU:,Comd
1316,HL20,Feet First,1930,PN:,SU:,Comd
